sample_id,db_id,chart,hardness,error_before_logged,error_before_runtime,error_category,fix_strategy,semantic_risk,sql_after_ok,changed_chars,change_ratio,sql_before,sql_after
158,baseball_1,Bar,Hard,ambiguous column name: year,ambiguous column name: year,ambiguous_column_reference,qualify_ambiguous_column,low,True,6,0.978873,"SELECT year , COUNT(year) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'","SELECT T1.year , COUNT(T1.year) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'"
159,baseball_1,Bar,Hard,ambiguous column name: year,ambiguous column name: year,ambiguous_column_reference,flatten_nested_aggregate,high,True,2,0.971429,"SELECT year , SUM(count(*)) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'","SELECT T1.year , count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'"
160,baseball_1,Bar,Hard,ambiguous column name: year,ambiguous column name: year,ambiguous_column_reference,flatten_nested_aggregate,high,True,2,0.971429,"SELECT year , AVG(count(*)) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'","SELECT T1.year , count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'"
161,baseball_1,Line,Hard,ambiguous column name: year,ambiguous column name: year,ambiguous_column_reference,flatten_nested_aggregate,high,True,2,0.971429,"SELECT year , SUM(count(*)) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'","SELECT T1.year , count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'"
162,baseball_1,Line,Hard,ambiguous column name: year,ambiguous column name: year,ambiguous_column_reference,flatten_nested_aggregate,high,True,2,0.971429,"SELECT year , AVG(count(*)) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'","SELECT T1.year , count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'"
163,baseball_1,Line,Hard,ambiguous column name: year,ambiguous column name: year,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.990291,"SELECT year , count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' GROUP BY T1.year","SELECT T1.year , count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' GROUP BY T1.year"
164,baseball_1,Line,Hard,ambiguous column name: year,ambiguous column name: year,ambiguous_column_reference,qualify_ambiguous_column,low,True,6,0.978873,"SELECT year , COUNT(year) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'","SELECT T1.year , COUNT(T1.year) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings'"
182,behavior_monitoring,Pie,Hard,misuse of aggregate: count(),misuse of aggregate: count(),invalid_nested_aggregate,add_groupby_for_orderby_count,high,True,38,0.886228,"SELECT T2.first_name , T1.teacher_id FROM Assessment_Notes AS T1 JOIN Teachers AS T2 ON T1.teacher_id = T2.teacher_id ORDER BY count(*) DESC LIMIT 3","SELECT T2.first_name , T1.teacher_id FROM Assessment_Notes AS T1 JOIN Teachers AS T2 ON T1.teacher_id = T2.teacher_id GROUP BY T2.first_name, T1.teacher_id ORDER BY count(*) DESC LIMIT 3"
183,behavior_monitoring,Bar,Hard,misuse of aggregate: count(),misuse of aggregate: count(),invalid_nested_aggregate,add_groupby_for_orderby_count,high,True,38,0.886228,"SELECT T2.first_name , T1.teacher_id FROM Assessment_Notes AS T1 JOIN Teachers AS T2 ON T1.teacher_id = T2.teacher_id ORDER BY count(*) DESC LIMIT 3","SELECT T2.first_name , T1.teacher_id FROM Assessment_Notes AS T1 JOIN Teachers AS T2 ON T1.teacher_id = T2.teacher_id GROUP BY T2.first_name, T1.teacher_id ORDER BY count(*) DESC LIMIT 3"
423,car_1,Grouping Scatter,Medium,ambiguous column name: Continent,ambiguous column name: Continent,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.987342,"SELECT T1.ContId , count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId = T2.Continent GROUP BY Continent","SELECT T1.ContId , count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId = T2.Continent GROUP BY T1.Continent"
676,college_3,Bar,Hard,"near T2"": syntax error""","near ""T2"": syntax error",malformed_sql_syntax,repair_sql_syntax,medium,True,1,0.996416,"SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName T2.CID HAVING COUNT(*) >= 5","SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName, T2.CID HAVING COUNT(*) >= 5"
877,cre_Drama_Workshop_Groups,Scatter,Medium,ambiguous column name: Service_Type_Code,ambiguous column name: Service_Type_Code,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.990769,"SELECT Service_Type_Code , COUNT(*) FROM Ref_Service_Types AS T1 JOIN Services AS T2 ON T1.Service_Type_Code = T2.Service_Type_Code GROUP BY T2.Service_Type_Code","SELECT T1.Service_Type_Code , COUNT(*) FROM Ref_Service_Types AS T1 JOIN Services AS T2 ON T1.Service_Type_Code = T2.Service_Type_Code GROUP BY T2.Service_Type_Code"
878,cre_Drama_Workshop_Groups,Grouping Scatter,Medium,ambiguous column name: Service_Type_Code,ambiguous column name: Service_Type_Code,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.990991,"SELECT Service_Type_Code , COUNT(*) FROM Ref_Service_Types AS T1 JOIN Services AS T2 ON T1.Service_Type_Code = T2.Service_Type_Code GROUP BY Service_Type_Description","SELECT T1.Service_Type_Code , COUNT(*) FROM Ref_Service_Types AS T1 JOIN Services AS T2 ON T1.Service_Type_Code = T2.Service_Type_Code GROUP BY Service_Type_Description"
1001,customers_and_products_contacts,Bar,Medium,misuse of aggregate function sum(),misuse of aggregate function sum(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.983389,"SELECT T1.product_name , SUM(sum(T2.order_quantity)) FROM products AS T1 JOIN order_items AS T2 ON T1.product_id = T2.product_id GROUP BY T1.product_name","SELECT T1.product_name , sum(T2.order_quantity) FROM products AS T1 JOIN order_items AS T2 ON T1.product_id = T2.product_id GROUP BY T1.product_name"
1002,customers_and_products_contacts,Bar,Medium,misuse of aggregate function sum(),misuse of aggregate function sum(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.983389,"SELECT T1.product_name , AVG(sum(T2.order_quantity)) FROM products AS T1 JOIN order_items AS T2 ON T1.product_id = T2.product_id GROUP BY T1.product_name","SELECT T1.product_name , sum(T2.order_quantity) FROM products AS T1 JOIN order_items AS T2 ON T1.product_id = T2.product_id GROUP BY T1.product_name"
1003,customers_and_products_contacts,Pie,Medium,misuse of aggregate function sum(),misuse of aggregate function sum(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.983389,"SELECT T1.product_name , SUM(sum(T2.order_quantity)) FROM products AS T1 JOIN order_items AS T2 ON T1.product_id = T2.product_id GROUP BY T1.product_name","SELECT T1.product_name , sum(T2.order_quantity) FROM products AS T1 JOIN order_items AS T2 ON T1.product_id = T2.product_id GROUP BY T1.product_name"
1159,dog_kennels,Grouping Line,Extra Hard,"near name"": syntax error""","near ""name"": syntax error",malformed_sql_syntax,remove_dangling_token,low,True,5,0.988662,"SELECT date_of_treatment , COUNT(date_of_treatment) FROM Dogs AS T1 JOIN Treatments AS T2 ON T1.dog_id = T2.dog_id WHERE T1.breed_code = ( SELECT breed_code FROM Dogs GROUP BY breed_code ORDER BY count(*) ASC LIMIT 1 ) name","SELECT date_of_treatment , COUNT(date_of_treatment) FROM Dogs AS T1 JOIN Treatments AS T2 ON T1.dog_id = T2.dog_id WHERE T1.breed_code = ( SELECT breed_code FROM Dogs GROUP BY breed_code ORDER BY count(*) ASC LIMIT 1 )"
1160,dog_kennels,Stacked Bar,Extra Hard,"near name"": syntax error""","near ""name"": syntax error",malformed_sql_syntax,remove_dangling_token,low,True,5,0.988662,"SELECT date_of_treatment , COUNT(date_of_treatment) FROM Dogs AS T1 JOIN Treatments AS T2 ON T1.dog_id = T2.dog_id WHERE T1.breed_code = ( SELECT breed_code FROM Dogs GROUP BY breed_code ORDER BY count(*) ASC LIMIT 1 ) name","SELECT date_of_treatment , COUNT(date_of_treatment) FROM Dogs AS T1 JOIN Treatments AS T2 ON T1.dog_id = T2.dog_id WHERE T1.breed_code = ( SELECT breed_code FROM Dogs GROUP BY breed_code ORDER BY count(*) ASC LIMIT 1 )"
1307,election,Bar,Medium,misuse of aggregate function COUNT(),misuse of aggregate function COUNT(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.977169,"SELECT T2.Party , SUM(COUNT(*)) FROM election AS T1 JOIN party AS T2 ON T1.Party = T2.Party_ID GROUP BY T2.Party","SELECT T2.Party , COUNT(*) FROM election AS T1 JOIN party AS T2 ON T1.Party = T2.Party_ID GROUP BY T2.Party"
1308,election,Bar,Medium,misuse of aggregate function COUNT(),misuse of aggregate function COUNT(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.977169,"SELECT T2.Party , AVG(COUNT(*)) FROM election AS T1 JOIN party AS T2 ON T1.Party = T2.Party_ID GROUP BY T2.Party","SELECT T2.Party , COUNT(*) FROM election AS T1 JOIN party AS T2 ON T1.Party = T2.Party_ID GROUP BY T2.Party"
1309,election,Pie,Medium,misuse of aggregate function COUNT(),misuse of aggregate function COUNT(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.977169,"SELECT T2.Party , SUM(COUNT(*)) FROM election AS T1 JOIN party AS T2 ON T1.Party = T2.Party_ID GROUP BY T2.Party","SELECT T2.Party , COUNT(*) FROM election AS T1 JOIN party AS T2 ON T1.Party = T2.Party_ID GROUP BY T2.Party"
1417,flight_4,Bar,Hard,misuse of aggregate: count(),misuse of aggregate: count(),invalid_nested_aggregate,add_groupby_for_orderby_count,high,True,26,0.898438,"SELECT T1.name , T1.alid FROM airlines AS T1 JOIN routes AS T2 ON T1.alid = T2.alid ORDER BY count(*) DESC LIMIT 10","SELECT T1.name , T1.alid FROM airlines AS T1 JOIN routes AS T2 ON T1.alid = T2.alid GROUP BY T1.name, T1.alid ORDER BY count(*) DESC LIMIT 10"
2143,local_govt_in_alabama,Bar,Medium,misuse of aggregate function count(),misuse of aggregate function count(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.985915,"SELECT T1.Participant_Type_Code , SUM(count(*)) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID GROUP BY T1.Participant_Type_Code","SELECT T1.Participant_Type_Code , count(*) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID GROUP BY T1.Participant_Type_Code"
2144,local_govt_in_alabama,Bar,Medium,misuse of aggregate function count(),misuse of aggregate function count(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.985915,"SELECT T1.Participant_Type_Code , AVG(count(*)) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID GROUP BY T1.Participant_Type_Code","SELECT T1.Participant_Type_Code , count(*) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID GROUP BY T1.Participant_Type_Code"
2263,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.986900,"SELECT T1.Code , T1.Price FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T1.Price FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2275,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.987654,"SELECT T1.Code , T1.Manufacturer FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T1.Manufacturer FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2276,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.986784,"SELECT T1.Code , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2277,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.987124,"SELECT T1.Code , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2278,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.987755,"SELECT T1.Price , T1.Manufacturer FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Price , T1.Manufacturer FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2279,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.986900,"SELECT T1.Price , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Price , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2280,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.987234,"SELECT T1.Price , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Price , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2281,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.987654,"SELECT T1.Manufacturer , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Manufacturer , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2282,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.987952,"SELECT T1.Manufacturer , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Manufacturer , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2283,manufactory_1,Grouping Scatter,Medium,ambiguous column name: Name,ambiguous column name: Name,ambiguous_column_reference,qualify_ambiguous_column,low,True,3,0.987124,"SELECT T1.Code , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
2370,movie_1,Bar,Medium,misuse of aggregate function min(),misuse of aggregate function min(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.976303,"SELECT T2.title , SUM(min(T1.stars)) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title","SELECT T2.title , min(T1.stars) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title"
2371,movie_1,Bar,Medium,misuse of aggregate function min(),misuse of aggregate function min(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.976303,"SELECT T2.title , AVG(min(T1.stars)) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title","SELECT T2.title , min(T1.stars) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title"
2374,movie_1,Pie,Medium,misuse of aggregate function min(),misuse of aggregate function min(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.976303,"SELECT T2.title , SUM(min(T1.stars)) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title","SELECT T2.title , min(T1.stars) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title"
2409,movie_1,Line,Hard,ambiguous column name: year,ambiguous column name: year,ambiguous_column_reference,qualify_ambiguous_column,low,True,6,0.974576,"SELECT year , COUNT(year) FROM Movie AS T1 JOIN Movie AS T2 ON T1.director = T2.director WHERE T1.title != T2.title","SELECT T1.year , COUNT(T1.year) FROM Movie AS T1 JOIN Movie AS T2 ON T1.director = T2.director WHERE T1.title != T2.title"
2431,music_1,Bar,Easy,aggregate functions are not allowed in the GROUP BY clause,aggregate functions are not allowed in the GROUP BY clause,aggregate_in_group_by,replace_groupby_aggregate_expr,medium,True,5,0.978723,"SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY min(T1.duration)","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T1.duration"
2455,network_1,Bar,Medium,misuse of aggregate function count(),misuse of aggregate function count(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.977578,"SELECT T2.name , SUM(count(*)) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id = T2.id GROUP BY T2.name","SELECT T2.name , count(*) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id = T2.id GROUP BY T2.name"
2456,network_1,Bar,Medium,misuse of aggregate function count(),misuse of aggregate function count(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.977578,"SELECT T2.name , AVG(count(*)) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id = T2.id GROUP BY T2.name","SELECT T2.name , count(*) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id = T2.id GROUP BY T2.name"
2687,sakila_1,Bar,Extra Hard,SELECTs to the left and right of UNION do not have the same number of result columns,SELECTs to the left and right of UNION do not have the same number of result columns,union_column_mismatch,rewrite_union_projection_arity,high,True,49,0.888383,"SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa'","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date, COUNT(T1.payment_date) FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY T1.payment_date"
2688,sakila_1,Bar,Extra Hard,SELECTs to the left and right of UNION do not have the same number of result columns,SELECTs to the left and right of UNION do not have the same number of result columns,union_column_mismatch,rewrite_union_projection_arity,high,True,49,0.888383,"SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa'","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date, COUNT(T1.payment_date) FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY T1.payment_date"
2689,sakila_1,Line,Extra Hard,SELECTs to the left and right of UNION do not have the same number of result columns,SELECTs to the left and right of UNION do not have the same number of result columns,union_column_mismatch,rewrite_union_projection_arity,high,True,24,0.947598,"SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY payment_date","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date, COUNT(T1.payment_date) FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY payment_date"
2969,tracking_orders,Bar,Medium,misuse of aggregate function count(),misuse of aggregate function count(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.986450,"SELECT T3.product_name , SUM(count(*)) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name","SELECT T3.product_name , count(*) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name"
2970,tracking_orders,Bar,Medium,misuse of aggregate function count(),misuse of aggregate function count(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.986450,"SELECT T3.product_name , AVG(count(*)) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name","SELECT T3.product_name , count(*) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name"
2971,tracking_orders,Pie,Medium,misuse of aggregate function count(),misuse of aggregate function count(),invalid_nested_aggregate,flatten_nested_aggregate,high,True,5,0.986450,"SELECT T3.product_name , SUM(count(*)) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name","SELECT T3.product_name , count(*) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name"
3019,tracking_share_transactions,Pie,Hard,misuse of aggregate: COUNT(),misuse of aggregate: COUNT(),invalid_nested_aggregate,add_groupby_for_orderby_count,high,True,45,0.872521,"SELECT T1.Investor_details , T1.investor_id FROM INVESTORS AS T1 JOIN TRANSACTIONS AS T2 ON T1.investor_id = T2.investor_id ORDER BY COUNT(*) DESC LIMIT 3","SELECT T1.Investor_details , T1.investor_id FROM INVESTORS AS T1 JOIN TRANSACTIONS AS T2 ON T1.investor_id = T2.investor_id GROUP BY T1.Investor_details, T1.investor_id ORDER BY COUNT(*) DESC LIMIT 3"
3020,tracking_share_transactions,Bar,Hard,misuse of aggregate: COUNT(),misuse of aggregate: COUNT(),invalid_nested_aggregate,add_groupby_for_orderby_count,high,True,45,0.872521,"SELECT T1.Investor_details , T1.investor_id FROM INVESTORS AS T1 JOIN TRANSACTIONS AS T2 ON T1.investor_id = T2.investor_id ORDER BY COUNT(*) DESC LIMIT 3","SELECT T1.Investor_details , T1.investor_id FROM INVESTORS AS T1 JOIN TRANSACTIONS AS T2 ON T1.investor_id = T2.investor_id GROUP BY T1.Investor_details, T1.investor_id ORDER BY COUNT(*) DESC LIMIT 3"
3219,wine_1,Scatter,Medium,aggregate functions are not allowed in the GROUP BY clause,aggregate functions are not allowed in the GROUP BY clause,aggregate_in_group_by,replace_groupby_aggregate_expr,medium,True,5,0.956522,"SELECT avg(Price) , avg(Score) FROM WINE GROUP BY avg(Price)","SELECT avg(Price) , avg(Score) FROM WINE GROUP BY Price"
